"","Gene","Quiescence_avg_log2FC","Quiescence_Up_percent","Quiescence_Down_percent","Quiescence_wilcox","Quiescence_wilcox.adj","Type","Rank"
"COX6A1","COX6A1",-0.092860247114489,0.35,0.65,0.570596694946289,0.803352696612221,"None",1070
"DUSP12","DUSP12",-0.0929184690422448,0.2,0.8,0.0239505767822266,0.191733303924105,"None",1069
"GCN1L1","GCN1L1",-0.0929832745821925,0.1,0.9,0.026641845703125,0.201830796063957,"None",1068
"PDHA1","PDHA1",-0.0930216727893767,0.3,0.7,0.105398178100586,0.38467179372639,"None",1067
"HLTF","HLTF",-0.0930373251200377,0.2,0.8,0.0440540313720703,0.25750675966351,"None",1066
"UBL7-AS1","UBL7-AS1",-0.0930628478238263,0.2,0.8,0.00271224975585938,0.0728697991183494,"None",1065
"TMEM126B","TMEM126B",-0.0930643450670275,0.3,0.7,0.189348220825195,0.502368479035426,"None",1064
"POP1","POP1",-0.0931296196696241,0.2,0.8,0.000394821166992188,0.0348299804486726,"Down",1063
"EEF1E1","EEF1E1",-0.0931448613869175,0.2,0.8,0.026641845703125,0.201830796063957,"None",1062
"KIF9","KIF9",-0.0931895717309018,0.25,0.75,0.0896949768066406,0.356996124666145,"None",1061
"C2orf69","C2orf69",-0.093203920494247,0.15,0.85,0.0295753479003906,0.209717525117048,"None",1060
"PPARG","PPARG",-0.0932422224603369,0.35,0.65,0.474905014038086,0.743838492376673,"None",1059
"NDUFS5","NDUFS5",-0.093269031823306,0.35,0.65,0.674222946166992,0.860277427457722,"None",1058
"ATF7IP2","ATF7IP2",-0.0932719214215816,0.2,0.8,0.0531692504882812,0.282915269760858,"None",1057
"TSPAN17","TSPAN17",-0.0933016632866559,0.1,0.9,0.0440540313720703,0.25750675966351,"None",1056
"KDELR2","KDELR2",-0.0933195411757568,0.3,0.7,0.674222946166992,0.860277427457722,"None",1055
"UPF3B","UPF3B",-0.0934331173989782,0.25,0.75,0.00558090209960938,0.102653383064008,"None",1054
"NUP205","NUP205",-0.0934822199157964,0.1,0.9,0.000209808349609375,0.0281332015991211,"Down",1053
"SMIM19","SMIM19",-0.0936079226993627,0.2,0.8,0.176853179931641,0.489458057730314,"None",1052
"SLC1A1","SLC1A1",-0.0936080538481575,0.3,0.7,0.0192337036132812,0.17461390098205,"None",1051
"P2RY11","P2RY11",-0.0937805070349405,0.15,0.85,0.00729560852050781,0.113884533936542,"None",1050
"LYN","LYN",-0.093826212360578,0.3,0.7,0.216167449951172,0.532339639374704,"None",1049
"NOL3","NOL3",-0.0938283939847685,0.35,0.65,0.216167449951172,0.532339639374704,"None",1048
"PPIL3","PPIL3",-0.0938523017828593,0.1,0.9,0.00830841064453125,0.120570863996233,"None",1047
"NDUFC2","NDUFC2",-0.0938662234405564,0.35,0.65,0.812355041503906,0.92705265970433,"None",1046
"EML4","EML4",-0.0938827682080565,0.15,0.85,0.348810195922852,0.65378751986714,"None",1045
"FANCD2","FANCD2",-0.0938837869580955,0.15,0.85,0.00315284729003906,0.0790215501161379,"None",1044
"IGSF9","IGSF9",-0.0939087190383548,0.3,0.7,0.142906188964844,0.443879797968402,"None",1043
"MMAB","MMAB",-0.093945884857428,0.25,0.75,0.0758514404296875,0.333367598766574,"None",1042
"TAF9","TAF9",-0.0939837163264888,0.3,0.7,0.245487213134766,0.56020048347925,"None",1041
"ELK4","ELK4",-0.0939979162212072,0.25,0.75,0.069580078125,0.320508164746865,"None",1040
"ABHD17A","ABHD17A",-0.0940375845288231,0.3,0.7,0.00729560852050781,0.113884533936542,"None",1039
"SYNCRIP","SYNCRIP",-0.094039056555154,0.3,0.7,0.474905014038086,0.743838492376673,"None",1038
"CLCN5","CLCN5",-0.0940539892114187,0.25,0.75,0.00558090209960938,0.102653383064008,"None",1037
"PAXIP1-AS1","PAXIP1-AS1",-0.0941092042478164,0.25,0.75,0.0362339019775391,0.23397452354078,"None",1036
"TNRC18","TNRC18",-0.0941406014539285,0.25,0.75,0.230512619018555,0.544563725937245,"None",1035
"MYH9","MYH9",-0.0941428817512499,0.3,0.7,0.43043327331543,0.713345663315609,"None",1034
"GTF2A2","GTF2A2",-0.094154102958507,0.4,0.6,0.521673202514648,0.774996230059708,"None",1033
"UBE2D2","UBE2D2",-0.0941669796711449,0.25,0.75,0.189348220825195,0.502368479035426,"None",1032
"CBFB","CBFB",-0.0941689966330274,0.35,0.65,0.0973072052001953,0.370258886075317,"None",1031
"PWP1","PWP1",-0.0941847551414042,0.2,0.8,0.142906188964844,0.443879797968402,"None",1030
"SPCS1","SPCS1",-0.0942145150510861,0.25,0.75,0.277355194091797,0.590607558770352,"None",1029
"CLSPN","CLSPN",-0.0942538015270095,0.2,0.8,0.00365447998046875,0.0837656787318042,"None",1028
"KTN1","KTN1",-0.094376219574075,0.4,0.6,0.701181411743164,0.874292500470903,"None",1027
