"","Gene","Mode0_Mean","Mode1_Mean","Mode2_Mean","Mode3_Mean","Mode0_Percent","Mode1_Percent","Mode2_Percent","Mode3_Percent"
"EIF3E","EIF3E",0.108730727555997,0.216359987389243,-0.612880380796431,-0.181985412220453,0.65,0.764705882352941,1,0.8
"TSTD1","TSTD1",0.0840337302818838,0.186409350193438,-0.254987040096059,0.197695225837446,0.7,0.764705882352941,0.857142857142857,0.6
"TESC","TESC",-0.0800497296784721,0.200819063442229,0.180374455533799,-0.0890275790458218,0.45,0.764705882352941,0.785714285714286,0.4
"BST2","BST2",-0.11083085219187,-0.00893158053509202,0.309747145316509,0.24885619453456,0.6,0.411764705882353,0.785714285714286,0.6
"KCNN4","KCNN4",-0.0719220685970614,0.0702593022630859,0.128453709014094,-0.506636450289015,0.65,0.529411764705882,0.785714285714286,1
"S100A11","S100A11",0.106307069240491,-0.176263108739638,-0.126694456552366,0.524980612218231,0.75,0.705882352941177,0.571428571428571,1
"KRT15","KRT15",0.0856000936194945,-0.0030593650028079,-0.0532893238506214,-0.669553624731809,0.65,0.588235294117647,0.642857142857143,0.8
"NDUFB5","NDUFB5",0.119572772497382,0.185045007158322,-0.0476141772617678,0.24033197300719,0.8,0.764705882352941,0.714285714285714,1
"EIF3L","EIF3L",-0.0257735990030639,0.361354458225482,-0.0786924942832673,0.0655456869411115,0.5,0.941176470588235,0.785714285714286,0.8
"MIA","MIA",0.0615421185176183,-0.161112897456216,-0.041117146707611,-0.154277584587187,0.65,0.529411764705882,0.642857142857143,0.4
"LCN2","LCN2",0.361095244029497,-0.543753724117916,1.88920870160579,-0.517146477288962,0.6,0.764705882352941,1,0.4
"SLC25A5","SLC25A5",-0.245981447747138,0.463019131788844,-0.164686898977892,0.432123032203689,0.8,0.882352941176471,0.714285714285714,1
"TGIF1","TGIF1",0.13700425957503,0.118351850950487,0.00151857671368837,-0.0515049692860576,0.65,0.529411764705882,0.5,0.4
"SERPINB1","SERPINB1",0.126036209755605,0.0756502767024089,-0.565422065766096,-0.058980679912165,0.7,0.470588235294118,0.928571428571429,0.4
"NR4A2","NR4A2",0.154551326589753,0.0502159478686497,0.417541223374219,-0.396208954581996,0.6,0.647058823529412,0.857142857142857,1
"UQCR11.1","UQCR11.1",-0.00809258707759947,0.329485216832984,-0.227785331424036,0.497490796671223,0.55,0.882352941176471,0.785714285714286,1
"CCDC57","CCDC57",0.00548568588071508,0.160445707112767,-0.0436881793802448,-0.0061628554182759,0.4,0.764705882352941,0.714285714285714,0.8
"SELM","SELM",0.0424878098336648,-0.0667876247155726,0.0379105230978103,-0.297020477311982,0.65,0.647058823529412,0.571428571428571,0.8
"CXCR4","CXCR4",-0.0193017151680203,-0.102553279263905,0.0238449319701063,-0.468360272468668,0.35,0.529411764705882,0.785714285714286,0.8
"SH3YL1","SH3YL1",0.0898737224417163,0.0371305026374218,-0.150580941738764,-0.187013792768443,0.65,0.529411764705882,0.857142857142857,0.8
"PPP1R1B","PPP1R1B",-0.19982604062797,0.426279445794405,-0.211115366261706,-0.521674155847624,0.6,0.941176470588235,0.714285714285714,1
"IMPDH2","IMPDH2",-0.0834168231883511,0.348475669581086,-0.0464565849794087,-0.126359697572683,0.55,0.882352941176471,0.785714285714286,1
"TMEM176B","TMEM176B",0.117436322133941,-0.0844665487552267,-0.0327868551095344,-0.0214771090968534,0.7,0.705882352941177,0.5,0.8
"TMEM97","TMEM97",-0.143957083143728,0.406385356250282,-0.0465115397990953,0.289109057310359,0.7,0.882352941176471,0.571428571428571,1
"UQCRH","UQCRH",-0.0877952848164923,0.278542336227346,0.0695628828083344,0.22296085552076,0.6,0.823529411764706,0.5,1
"ESD","ESD",-0.0968274214681898,0.258206909042538,-0.258215246293774,0.0110330314078302,0.75,0.882352941176471,1,0.4
"SLC3A2","SLC3A2",0.176911338717484,-0.0298437829836064,-0.0190289970472988,0.191126696659964,0.6,0.588235294117647,0.571428571428571,0.8
"LY6E","LY6E",-0.23496812299364,0.15922946951407,-0.661234750190925,0.21121147152378,0.7,0.647058823529412,0.857142857142857,1
"PROM1","PROM1",-0.0627145687503168,-0.144735421320607,-0.0722910148651692,-0.325153382375444,0.55,0.529411764705882,0.5,0.8
